DataSet,ed,msm,TSFresh,Summary,Catch22,QUANT,UFS-IE
ACSF1,0.0988,0.1646,-0.0013,0.2297,0.2856,0.2689,0.2783
Adiac,0.2448,0.2681,0.0111,0.3985,0.1475,0.3898,0.3298
ArrowHead,0.1786,0.1853,-0.0072,0.1824,0.1796,0.1412,0.223
Beef,0.0569,0.0488,0.0107,0.0473,0.047,0.0389,0.0321
BeetleFly,-0.0556,0,-0.0044,0.6208,0.0442,0.1901,0.0758
BirdChicken,-0.0556,-0.0444,-0.0307,0.1396,-0.0444,0.042,-0.0398
BME,0.1009,0.0966,-0.0007,0.1112,0.0776,0.389,0.1002
Car,0.1728,0.2546,-0.0001,0.2093,0.0541,0.1885,0.1999
CBF,0.3159,0.2794,-0.0008,0.2307,0.1448,0.253,0.199
Chinatown,0.0257,0.0293,0.0088,0.1869,0.2879,0.2543,0.9051
ChlorineConcentration,0.0016,0.0055,0.0009,0.0011,0,0.0003,0.003
CinCECGTorso,0.1128,0.1751,0.0004,0.0315,0.1237,0.2965,0.2364
Coffee,0.857,0.603,-0.0267,0.0966,-0.0128,0.2234,0.9205
Computers,0.0125,0.08,-0.0016,0.0588,0.0486,0.0432,0.1055
CricketX,0.0713,0.0856,0.0035,0.1283,0.1059,0.1691,0.1508
CricketY,0.1206,0.114,0.0032,0.0932,0.1076,0.1144,0.1514
CricketZ,0.0841,0.0812,0.0035,0.1283,0.1164,0.1773,0.1355
Crop,0.275,0.2576,0.0026,0.1349,0.1485,0.2297,0.236
DiatomSizeReduction,0.902,0.8649,0.007,0.6341,0.4569,0.6622,0.7656
DistalPhalanxOutlineCorrect,0.0513,0.044,-0.0038,0.0152,0.0289,0.0487,0.0283
DistalPhalanxOutlineAgeGroup,0.1969,0.2531,0.0213,0.1986,0.0053,0.2282,0.2007
DistalPhalanxTW,0.323,0.365,0.0102,0.2848,0.2284,0.3336,0.2643
Earthquakes,0.0059,-0.0252,0.0313,-0.0965,-0.0165,-0.0719,0.0957
ECG200,0.1923,0.1749,0.022,0.1213,0.0208,0.1474,0.2125
ECG5000,0.416,0.5512,0.1425,0.4348,0.2968,0.419,0.3039
ECGFiveDays,-0.0008,0.4,0,0.1807,0.0121,0.0111,-0.0004
ElectricDevices,0.1672,0.0991,0.0007,0.2293,0.1109,0.3134,0.2663
EOGHorizontalSignal,0.1619,0.149,0.0107,0.2002,0.156,0.1059,0.2024
EOGVerticalSignal,0.1842,0.1244,0.0046,0.1778,0.1372,0.0966,0.1752
EthanolLevel,-0.0006,-0.0017,-0.0013,-0.0003,-0.0032,-0.0013,-0.0013
FaceAll,0.1531,0.4522,0.0106,0.3154,0.1694,0.3261,0.4065
FaceFour,0.3669,0.3437,-0.0025,0.0093,0.2931,0.1855,0.4478
FacesUCR,0.1847,0.412,0.0062,0.1426,0.1528,0.2404,0.2405
FiftyWords,0.2546,0.439,0.0223,0.0598,0.0871,0.1283,0.2876
Fish,0.1783,0.4608,0.0046,0.2088,0.2266,0.1376,0.1893
FordA,-0.0005,0,0.0003,0.0019,0.0104,-0.0002,-0.0007
FordB,-0.0012,0.0001,-0.0008,0.0044,0.0092,0.001,0.0008
FreezerRegularTrain,0.2805,0.2842,0.0015,0.1564,0.2281,0.2078,0.1631
FreezerSmallTrain,0.2782,0.2827,0.0015,0.1564,0.2281,0.2169,0.1648
GunPoint,-0.0051,-0.0022,-0.002,-0.006,-0.0039,-0.005,-0.0051
GunPointAgeSpan,0.2609,0.457,-0.001,0.0583,0.0435,-0.0025,-0.0025
GunPointMaleVersusFemale,0.0002,0.0461,-0.0021,0.6048,0.645,0.8534,0.1079
GunPointOldVersusYoung,0.2154,0.2154,-0.0019,0.0156,0.0192,-0.0009,0.2274
Ham,0.039,0.025,-0.0003,0.0334,0.0105,-0.0087,0.0571
HandOutlines,0.1591,0.0042,-0.0051,0.0637,0.07,0.1036,0.1671
Haptics,0.0484,0.0797,0.0025,0.0424,0.0569,0.0345,0.0587
Herring,-0.0162,0.0003,-0.0145,0.0467,-0.0153,0.0189,0.0201
HouseTwenty,0.06,0.1768,-0.0103,0,0.0899,0.3836,0.2408
InlineSkate,0.0071,0.0324,0.0007,0.0618,0.0115,0.0299,0.0143
InsectEPGRegularTrain,0.2194,0.2694,0.0062,0.3285,0.0623,0.2019,0.2583
InsectEPGSmallTrain,0.1874,0.273,0.0084,0.2078,0.0978,0.1972,0.1544
InsectWingbeatSound,0.3284,0.3337,0.0129,0.0159,0.2836,0.0869,0.2947
ItalyPowerDemand,0.0012,0.0002,-0.0008,0.0057,-0.0007,0.0032,0.009
LargeKitchenAppliances,0.0042,0.0399,0.0075,0.1276,0.0774,0.2392,0.0558
Lightning2,0.0163,-0.0136,0.0089,0.0829,-0.0127,0.1284,0.0839
Lightning7,0.1953,0.3685,0.0673,0.1702,0.1276,0.1867,0.2868
Mallat,0.7199,0.7981,0.008,0.3253,0.2706,0.4799,0.7985
Meat,0.3705,0.6301,-0.0049,0.404,0.035,0.5573,0.7666
MedicalImages,0.0364,0.0908,0.0057,0.0566,0.0397,0.0712,0.0646
MiddlePhalanxOutlineCorrect,0.0359,0.0265,0.0049,0.0235,0.0013,0.0178,0.0235
MiddlePhalanxOutlineAgeGroup,0.0498,0.0583,-0.0038,0.067,0.0111,0.0732,0.049
MiddlePhalanxTW,0.2639,0.2535,0.0421,0.244,0.255,0.2543,0.2315
MixedShapesRegularTrain,0.4563,0.4977,0.0002,0.21,0.2614,0.1834,0.521
MixedShapesSmallTrain,0.4578,0.5402,-0.0035,0.2039,0.2603,0.1813,0.5104
MoteStrain,0.4914,0.5004,-0.0008,0.0215,0.0043,0.0004,0.3311
NonInvasiveFetalECGThorax1,0.3638,0.4145,0.0058,0.3093,0.1565,0.239,0.4896
NonInvasiveFetalECGThorax2,0.4637,0.515,0.0068,0.3259,0.2098,0.2486,0.5395
OliveOil,0.6338,0.6939,0.0154,0.003,-0.014,0.6122,0.5239
OSULeaf,0.1158,0.1623,-0.0012,0.0973,0.203,0.2422,0.1395
PhalangesOutlinesCorrect,0.0615,0.0583,-0.0091,0.0432,0.0285,0.0544,0.0528
Phoneme,0.0048,0.046,0.015,0.0311,0.0437,0.0486,0.05
PigAirwayPressure,0.0194,0.017,0.0056,0.0736,0.0588,0.0937,0.0295
PigArtPressure,0.0942,0,-0.0002,0.2882,0.3861,0.1548,0.0815
PigCVP,0.0096,0.0061,0.0304,0.0774,0.1233,0.138,0.0019
Plane,0.8075,0.8399,0.0144,0.727,0.77,0.9128,0.8489
PowerCons,0.0927,0.4563,0.0104,0.0917,-0.0051,0.1738,0.2461
ProximalPhalanxOutlineCorrect,0.0776,0.0776,-0.0339,0.0739,-0.0483,0.0844,0.0739
ProximalPhalanxOutlineAgeGroup,0.5546,0.5627,0.0561,0.5548,0.5564,0.5719,0.5583
ProximalPhalanxTW,0.3612,0.3672,0.0301,0.3023,0.3857,0.4186,0.3703
RefrigerationDevices,-0.0031,0.0059,-0.0009,0.096,0.0149,0.019,0.1462
Rock,0.1507,0.098,-0.0345,0.165,0.248,0.1943,0.0755
ScreenType,0.029,0.0183,-0.0005,0.026,0.0302,0.0087,0.0085
SemgHandGenderCh2,0.0962,0.063,0.029,0.119,-0.0486,0.0308,0.1155
SemgHandMovementCh2,0.071,0.091,0.0019,0.034,0.0395,0.0509,0.0821
SemgHandSubjectCh2,0.2,0.3264,0.018,0.1542,0.0394,0.1101,0.1785
ShapeletSim,0.0001,0.0136,-0.0054,-0.0003,1,0.0015,0.0024
ShapesAll,0.2302,0.1832,0.0376,0.2624,0.1986,0.2259,0.3821
SmallKitchenAppliances,0.0005,0.0001,0.008,0.1747,0.1405,0.2701,0.1402
SmoothSubspace,0.3695,0.2781,0.001,0.4149,0.0066,0.0427,0.1433
SonyAIBORobotSurface1,-0.0002,-0.0065,-0.0012,0.287,0.0214,0.453,-0.0065
SonyAIBORobotSurface2,0.2633,0.288,-0.0068,0.145,0.0196,0.5132,0.3137
StarLightCurves,0.5175,0.5269,0.0319,0.3878,0.453,0.252,0.4948
Strawberry,-0.0405,-0.0401,-0.002,-0.0427,-0.0319,-0.0377,-0.0268
SwedishLeaf,0.3052,0.3635,0.0017,0.3614,0.2855,0.4104,0.4688
Symbols,0.6719,0.7272,0.1051,0.3042,0.7068,0.5736,0.6816
SyntheticControl,0.6003,0.5361,-0.0049,0.1665,0.354,0.6415,0.6133
ToeSegmentation1,-0.0037,-0.0025,0.0001,0.2648,0.0365,0.0066,-0.0042
ToeSegmentation2,-0.0034,-0.0053,0.038,0.266,0.1071,0.1152,0.0089
Trace,0.3347,0.3347,0.006,0.5824,0.3006,0.7007,0.3347
TwoLeadECG,0.0037,0.0255,0,0.2211,0.0083,0.1233,0.0052
TwoPatterns,0.0168,0.0632,-0.0002,-0.0003,0.0028,0.0228,0.0444
UMD,0.1218,0.1627,-0.0081,0.3925,0.1098,0.2697,0.1154
UWaveGestureLibraryAll,0.5455,0.508,0.0113,0.0413,0.1975,0.0868,0.6149
UWaveGestureLibraryX,0.3532,0.3612,0.0276,0.0771,0.1651,0.1664,0.3805
UWaveGestureLibraryY,0.3354,0.3098,0.0149,0.0589,0.0957,0.1073,0.3336
UWaveGestureLibraryZ,0.2879,0.3259,0.0273,0.0831,0.1819,0.1426,0.3048
Wafer,0.0048,0.0014,-0.0139,-0.0322,-0.0184,0.0329,0.0011
Wine,-0.006,-0.011,0,0.0084,0.0368,-0.011,0.0222
WordSynonyms,0.141,0.2305,0.0232,0.0657,0.0487,0.0685,0.1889
Worms,0.0912,0.0819,0.047,0.044,0.1417,0.2553,0.1254
WormsTwoClass,-0.0088,-0.0088,0.0383,0.0146,-0.0028,0.0355,-0.0059
Yoga,-0.0014,-0.0015,-0.0007,0.0228,0,0.0026,-0.0015
AVERAGE,0.1862,0.2154,0.0082,0.1611,0.1352,0.1901,0.2167
RANK,3.8661,3.1741,6.2768,3.875,4.4062,3.3214,3.0804
WIN,36,54,12,40,32,54,-
DRAW,2,3,1,2,0,2,-
LOSE,74,55,99,70,80,56,-
