DataSet,Type,Train ,Test ,Class,Length,ACC(UFS-IE),ARI(UFS-IE)
ACSF1,Device,100,100,10,1460,0.473,0.2783
Adiac,Image,390,391,37,176,0.477,0.3298
ArrowHead,Image,36,175,3,251,0.56,0.223
Beef,Spectro,30,30,5,470,0.3667,0.0321
BeetleFly,Image,20,20,2,512,0.67,0.0758
BirdChicken,Image,20,20,2,512,0.55,-0.0398
BME,Simulated,30,150,3,128,0.4733,0.1002
Car,Sensor,60,60,4,577,0.5933,0.1999
CBF,Simulated,30,900,3,128,0.5888,0.199
Chinatown,Other,20,343,2,24,0.9767,0.9051
ChlorineConcentration,Simulated,467,3840,3,166,0.3747,0.003
CinCECGTorso,ECG,40,1380,4,1639,0.5157,0.2364
Coffee,Spectro,28,28,2,286,0.9786,0.9205
Computers,Device,250,250,2,720,0.6644,0.1055
CricketX,HAR,390,390,12,300,0.3344,0.1508
CricketY,HAR,390,390,12,300,0.3282,0.1514
CricketZ,HAR,390,390,12,300,0.3215,0.1355
Crop,Image,7200,16800,24,46,0.3452,0.236
DiatomSizeReduction,Image,16,306,4,345,0.8761,0.7656
DistalPhalanxOutlineCorrect,Image,600,276,2,80,0.5942,0.0283
DistalPhalanxOutlineAgeGroup,Image,400,139,3,80,0.6101,0.2007
DistalPhalanxTW,Image,400,139,6,80,0.454,0.2643
Earthquakes,Sensor,322,139,2,512,0.6906,0.0957
ECG200,ECG,100,100,2,96,0.74,0.2125
ECG5000,ECG,500,4500,5,140,0.4531,0.3039
ECGFiveDays,ECG,23,861,2,136,0.5134,-0.0004
ElectricDevices,Device,8926,7711,7,96,0.4404,0.2663
EOGHorizontalSignal,Other,362,362,12,1250,0.3834,0.2024
EOGVerticalSignal,Other,362,362,12,1250,0.3696,0.1752
EthanolLevel,Spectro,504,500,4,1751,0.286,-0.0013
FaceAll,Image,560,1690,14,131,0.5067,0.4065
FaceFour,Image,24,88,4,350,0.6716,0.4478
FacesUCR,Image,200,2050,14,131,0.3975,0.2405
FiftyWords,Image,450,455,50,270,0.4136,0.2876
Fish,Image,175,175,7,463,0.4554,0.1893
FordA,Sensor,3601,1320,2,500,0.5023,-0.0007
FordB,Sensor,3636,810,2,500,0.5225,0.0008
FreezerRegularTrain,Device,150,2850,2,301,0.7021,0.1631
FreezerSmallTrain,Device,28,2850,2,301,0.7032,0.1648
GunPoint,HAR,50,150,2,150,0.52,-0.0051
GunPointAgeSpan,HAR,135,316,2,150,0.5098,-0.0025
GunPointMaleVersusFemale,HAR,135,316,2,150,0.6373,0.1079
GunPointOldVersusYoung,HAR,136,315,2,150,0.7397,0.2274
Ham,Spectro,109,105,2,431,0.6286,0.0571
HandOutlines,Image,1000,370,2,2709,0.7216,0.1671
Haptics,Motion,155,308,5,1092,0.3435,0.0587
Herring,Image,64,64,2,512,0.5938,0.0201
HouseTwenty,Device,40,119,2,2000,0.7437,0.2408
InlineSkate,Motion,100,550,7,1882,0.2229,0.0143
InsectEPGRegularTrain,Other,62,249,3,601,0.6165,0.2583
InsectEPGSmallTrain,Other,17,249,3,601,0.5643,0.1544
InsectWingbeatSound,Other,220,1980,11,256,0.4402,0.2947
ItalyPowerDemand,Sensor,67,1029,2,24,0.5493,0.009
LargeKitchenAppliances,Device,375,375,3,720,0.4923,0.0558
Lightning2,Sensor,60,61,2,637,0.6557,0.0839
Lightning7,Sensor,70,73,7,319,0.5205,0.2868
Mallat,Simulated,55,2345,8,1024,0.8375,0.7985
Meat,Spectro,60,60,3,448,0.9167,0.7666
MedicalImages,Image,381,760,10,99,0.3287,0.0646
MiddlePhalanxOutlineCorrect,Image,600,291,2,80,0.5979,0.0235
MiddlePhalanxOutlineAgeGroup,Image,400,154,3,80,0.4701,0.049
MiddlePhalanxTW,Image,399,154,6,80,0.4305,0.2315
MixedShapesRegularTrain,Image,500,2425,5,1024,0.6733,0.521
